Date,Merchant,Payment Method,Amount
2024-11-24,Seoulgamjatang,Cash,-51.96
2024-11-24,H-Mart Canada - 058 -,Cash,-17.64
2024-11-24,Tim Hortons,Cash,-5.07
2024-11-24,Walmart.ca,Cash,-45.18
2024-11-24,Uber* Pending,Cash,-9.47
2024-11-23,7 Eleven Store,Cash,-4.28
2024-11-23,Happy Lamb Hot Pot,Cash,-42.86
2024-11-23,Tim Hortons,Cash,-7.89
2024-11-23,Uber Canada/Ubertrip,Cash,-10.68
2024-11-21,Mcdonalds 4318,Cash,-1.58
2024-11-21,hsjs,Cash,-80.00
2024-11-21,Apple.com/Bill,Cash,-15.24
2024-11-20,Bingz Crispy Burger Ea,Cash,-7.90
2024-11-20,Jimmy The Greek,Cash,-14.68
2024-11-19,Loblaw Mlg,Cash,-37.86
2024-11-19,Jollibee,Cash,-9.02
2024-11-19,Yi Zhao,Cash,"1,000.00"
2024-11-19,YI ZHAO,Cash,300.00
2024-11-18,YI ZHAO,Cash,"2,000.00"
2024-11-18,Tim Hortons,Cash,-2.09
2024-11-18,Transfer out,Cash,-496.45
2024-11-18,YI ZHAO,Cash,"1,500.00"
2024-11-17,Transfer out,Cash,-50.00
2024-11-17,Transfer out,Cash,-50.00
2024-11-17,H-Mart Canada - 058 -,Cash,-10.82
2024-11-17,Mcdonalds 4318,Cash,-3.45
2024-11-17,Mcdonald's,Cash,-8.89
2024-11-17,YI ZHAO,Cash,500.00
2024-11-17,YI ZHAO,Cash,"1,000.00"
2024-11-16,Shao Xiang Ju,Cash,-51.80
2024-11-16,YI ZHAO,Cash,"1,000.00"
2024-11-16,YI ZHAO,Cash,100.00
2024-11-16,Shining Stars Health C,Cash,-21.73
2024-11-16,Presto Fare/5fjh25pn9w,Cash,-3.30
2024-11-16,The Oats Kafe,Cash,-7.63
2024-11-15,Presto Fare/5fj57bw5gt,Cash,-3.30
2024-11-15,Dollarama,Cash,-3.16
2024-11-15,Transfer out,Cash,-5.03
2024-11-15,Transfer out,Cash,-0.04
2024-11-15,Transfer out,Cash,-2.23
2024-11-15,Transfer out,Cash,-435.53
2024-11-15,Transfer out,Cash,"-1,062.21"
2024-11-15,Transfer out,Cash,-413.68
2024-11-15,Transfer out,Cash,-155.24
2024-11-15,Transfer out,Cash,-362.91
2024-11-14,Transfer out,Cash,-939.55
2024-11-14,Transfer in,Cash,1.53
2024-11-14,Transfer out,Cash,-100.00
2024-11-14,Transfer out,Cash,-314.58
2024-11-14,Transfer out,Cash,-520.17
2024-11-14,Transfer out,Cash,-762.55
2024-11-14,Transfer out,Cash,-402.83
2024-11-14,Transfer out,Cash,-355.32
2024-11-14,Transfer out,Cash,-892.72
2024-11-14,Transfer out,Cash,-658.40
2024-11-14,Transfer out,Cash,-242.71
2024-11-14,Transfer out,Cash,-274.78
2024-11-14,Transfer out,Cash,-429.77
2024-11-14,Le Lert,Cash,-68.00
2024-11-14,Transfer out,Cash,-100.00
2024-11-14,Transfer out,Cash,-896.61
2024-11-14,AMZN Mktp CA WWW.AMAZON.CA ON,Cash,33.85
2024-11-14,Transfer out,Cash,-143.51
2024-11-14,Transfer out,Cash,-34.57
2024-11-14,Amzn Mktp Ca,Cash,-19.20
2024-11-13,Shoppers Drug Mart,Cash,-5.15
2024-11-13,INFINITEM CANAD,Cash,"3,648.65"
2024-11-13,Bingz Crispy Burger Ea,Cash,-7.90
2024-11-13,Tim Hortons,Cash,-2.76
2024-11-13,H-Mart Canada - 058 -,Cash,-20.71
2024-11-12,Hollister 31576,Cash,-73.45
2024-11-12,Amzn Mktp Ca,Cash,-29.89
2024-11-11,H-Mart Canada - 058 -,Cash,-21.46
2024-11-11,Mr Fish,Cash,-50.47
2024-11-11,Cineplex Entertainme,Cash,-36.74
2024-11-11,Presto Fare/5f6649gm75,Cash,-6.60
2024-11-10,Uber* Trip,Cash,-8.61
2024-11-10,Nando's Bay Street,Cash,-6.20
2024-11-10,Apple.com/Bill,Cash,-4.51
2024-11-10,Nando's Bay Street,Cash,-46.97
2024-11-10,Shoppers Drug Mart,Cash,-3.38
2024-11-10,AMZN Mktp CA WWW.AMAZON.CA ON,Cash,45.19
2024-11-10,AMZN Mktp CA WWW.AMAZON.CA ON,Cash,44.06
2024-11-10,Transfer out,Cash,-2.92
2024-11-09,Dahu Hotpot,Cash,-52.37
2024-11-09,Uber* Pending,Cash,-16.29
2024-11-09,Amzn Mktp Ca,Cash,-96.05
2024-11-09,Amzn Mktp Ca,Cash,-203.39
2024-11-09,Dollarama,Cash,-4.24
2024-11-09,Tim Hortons,Cash,-1.67
2024-11-09,Tst-Globol,Cash,-13.56
2024-11-09,Amazon.ca,Cash,-28.24
2024-11-08,Shao Xiang Ju,Cash,-49.74
2024-11-08,Momentum Plus,Cash,-6.92
2024-11-08,Tim Hortons,Cash,-6.20
2024-11-07,Transfer out,Cash,-27.06
2024-11-06,JIGANG ZHU,Cash,20.00
2024-11-06,Loblaw Mlg,Cash,-51.38
2024-11-06,Uber Canada/Ubereats,Cash,-12.58
2024-11-06,Yi Zhao,Cash,"2,000.00"
2024-11-06,Transfer out,Cash,-22.85
2024-11-06,Transfer out,Cash,-200.00
2024-11-05,Le Lert,Cash,-34.67
2024-11-04,Shao Xiang Ju,Cash,-59.52
2024-11-04,Presto Fare/5fh9cm9kzb,Cash,-3.30
2024-11-04,Presto Fare/5fh921qk76,Cash,-9.25
2024-11-03,Cu,Cash,-14.75
2024-11-03,Apple.com/Ca,Cash,-755.97
2024-11-03,Amzn Mktp Ca,Cash,-19.18
2024-11-01,Interest,Cash,115.50
